playerName,tag,shipName,type,class,tier,lastBattle,lastUpdated,battles,winRatio,survivalRatio,survivedWins,survivalWinRatio,playerRating,adjustedRating,averageDamage,averageKills,mainBatteryAccuracy,maxDamage,maxPotentialDamage,shipsSpotted,averageShipsSpotted,averageRamKills,averageSecondaryKills,torpedoKills,torpedoAccuracy,averageScoutingDamage,maxScoutingDamage,baseCaptures,baseDefense
GodzilIa,R-SKY,Bourgogne,Random,Battleship,10,9/15/2023,9/15/2023,7,0.7143,0.2857,2,0.4,1380,285.5172,113295.43,1,3.0901,222930,3540406,3,0.43,0,0,0,0,19199.4286,31830,60,1
GodzilIa,R-SKY,Worcester,Random,Cruiser,10,9/15/2023,9/15/2023,7,0.5714,0.1429,1,0.25,1844,381.5172,71620.86,1.29,3.3565,118762,1489750,6,0.86,0,0,0,0,13691,37761,52,62
GodzilIa,R-SKY,Kremlin,Random,Battleship,10,1/20/2023,1/20/2023,5,0.2,0,0,0,731,100.8276,73520.4,0.4,2.9184,100835,2819950,1,0.2,0,0,0,0,11825.8,20743,34,0
GodzilIa,R-SKY,Des Moines,Random,Cruiser,10,9/15/2023,9/15/2023,31,0.7097,0.129,4,0.1818,2190,2190,87822.55,0.87,2.2938,218731,2760200,24,0.77,0,0.0323,0,0,28810.6129,101842,307,342
GodzilIa,R-SKY,Yamato,Random,Battleship,10,12/20/2022,8/31/2023,34,0.4412,0.3235,8,0.5333,1580,1580,96091.03,1,3.4838,195239,2979200,4,0.12,0,0.0294,0,0,19703.9412,96177,90,191
The_Walking_Spreadsheet,R-SKY,Khabarovsk,Random,Destroyer,10,8/27/2023,8/27/2023,7,0.4286,0.4286,2,0.6667,1319,272.8966,58062.71,1,2.1594,120261,2018300,9,1.29,0,0,0,0,29193.2857,66500,118,52
The_Walking_Spreadsheet,R-SKY,Yoshino B,Random,Cruiser,10,8/30/2023,8/30/2023,32,0.625,0.5938,14,0.7,1214,1214,73068.72,0.56,3.3181,157720,1490800,5,0.16,0,0,0,0,23303.3125,84256,141,172
The_Walking_Spreadsheet,R-SKY,Grosser Kurfürst,Random,Battleship,10,8/8/2023,8/8/2023,17,0.5882,0.3529,5,0.5,1773,978.2069,87922.29,1.06,3.3743,257012,3717050,1,0.06,0,0.2353,0,0,20303,51975,20,137
The_Walking_Spreadsheet,R-SKY,Daring,Random,Destroyer,10,9/9/2023,9/9/2023,34,0.5294,0.5294,15,0.8333,1762,1762,61382.03,0.97,2.248,190558,1545300,69,2.03,0,0,6,15.9583,44671.3529,116070,1621,381
The_Walking_Spreadsheet,R-SKY,Alexander Nevsky,Random,Cruiser,10,8/31/2023,8/31/2023,8,0.375,0.25,1,0.3333,1129,272.5172,86345.5,0.5,2.5596,178727,1487098,7,0.88,0,0,0,0,22921.625,57354,0,85
The_Walking_Spreadsheet,R-SKY,Cristoforo Colombo,Random,Battleship,10,9/6/2023,9/6/2023,92,0.4565,0.3696,25,0.5952,1044,1044,83639.87,0.86,3.7444,177063,3817213,28,0.3,0,0.0217,0,0,25631.3478,90741,833,355
The_Walking_Spreadsheet,R-SKY,Elbing,Random,Destroyer,10,9/6/2023,9/6/2023,34,0.4706,0.2941,8,0.5,970,970,54523.65,0.65,1.6598,149239,1655500,63,1.85,0,0,8,34.1935,33981.3235,120168,865,222
The_Walking_Spreadsheet,R-SKY,Napoli B,Random,Cruiser,10,8/27/2023,8/27/2023,27,0.7037,0.4074,10,0.5263,1964,1760.8276,78985.22,1.04,2.0989,143635,2867866,9,0.33,0.037,0.1852,3,10.4762,24529.4074,72063,317,181
The_Walking_Spreadsheet,R-SKY,Bourgogne,Random,Battleship,10,9/17/2023,9/17/2023,21,0.4762,0.5714,9,0.9,1485,1024.1379,127356.62,1.52,3.1352,214752,2878069,8,0.38,0,0,0,0,24550.381,72541,64,212
